Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Memoirs of a Geisha (2005),7.4,Won 3 Oscars,32 wins & 47 nominations total,Rob Marshall,"$162,242,962",PG-13,629,214,144K
Goodfellas (1990),8.7,Won 1 Oscar,44 wins & 38 nominations total,Martin Scorsese,"$46,963,277",R,1.4K,155,1.1M
L.A. Confidential (1997),8.2,Won 2 Oscars,91 wins & 85 nominations total,Curtis Hanson,"$126,216,940",R,772,146,557K
American Hustle (2013),7.2,Nominated for 10 Oscars,69 wins & 227 nominations total,David O. Russell,"$251,171,807",R,845,551,465K
The Hunger Games: Mockingjay - Part 2 (2015),6.6,Awards,16 wins & 34 nominations,Francis Lawrence,"$658,344,137",PG-13,501,431,306K
Spaceballs (1987),7.1,Awards,1 win,Mel Brooks,"$38,119,483",PG,360,112,182K
Sin City: A Dame to Kill For (2014),6.5,Awards,4 wins & 6 nominations,Frank Miller,"$39,407,616",R,284,367,158K
Return of the Seven (1966),5.5,Nominated for 1 Oscar,1 nomination total,Burt Kennedy,"$6,322,000",Unrated,50,25,4.2K
Batoru rowaiaru (2000),7.6,Awards,7 wins & 9 nominations,Kinji Fukasaku,"$4,500,000 (estimated)",Not Rated,695,213,178K
La piel que habito (2011),7.6,Awards,28 wins & 69 nominations total,Pedro Almodóvar,"$33,750,478",R,226,433,147K
Edward Scissorhands (1990),7.9,Nominated for 1 Oscar,9 wins & 24 nominations total,Tim Burton,"$86,024,005",PG-13,719,116,467K
Who Framed Roger Rabbit (1988),7.7,Won 4 Oscars,24 wins & 22 nominations total,Robert Zemeckis,"$329,803,958",PG,316,149,192K
Serenity (2005),7.8,Awards,9 wins & 10 nominations,Joss Whedon,"$40,445,129",PG-13,1.7K,208,290K
Ging chaat goo si (1985),7.6,Awards,7 nominations,Jackie Chan,"$113,164",PG-13,112,3,34K
Glass (2019),6.6,Awards,2 wins & 15 nominations,M. Night Shyamalan,"$246,999,039",PG-13,2K,423,227K
Alice in Wonderland (2010),6.4,Won 2 Oscars,35 wins & 63 nominations total,Tim Burton,"$1,025,468,216",PG,819,462,399K
JFK (1991),8.0,Won 2 Oscars,19 wins & 43 nominations total,Oliver Stone,"$205,405,498",R,525,90,150K
Road House (1989),6.6,Awards,5 nominations,Rowdy Herrington,"$30,050,028",R,317,90,68K
Se7en (1995),8.6,Nominated for 1 Oscar,29 wins & 43 nominations total,David Fincher,"$327,333,559",R,1.7K,177,1.5M
Kung Fu Panda (2008),7.6,Nominated for 1 Oscar,14 wins & 39 nominations total,Mark Osborne,"$631,746,197",PG,483,278,442K
Christine (1983),6.7,Awards,2 nominations,John Carpenter,"$21,017,849",R,315,183,78K
Dirty Harry (1971),7.7,Awards,2 wins & 4 nominations,Don Siegel,"$35,976,000",R,400,151,151K
Full Metal Jacket (1987),8.3,Nominated for 1 Oscar,8 wins & 15 nominations total,Stanley Kubrick,"Jun 28, 1987",R,910,172,707K
Prince of Darkness (1987),6.7,Awards,1 win & 2 nominations,John Carpenter,"$14,182,492",R,302,206,41K
Apocalypse Now (1979),8.4,Won 2 Oscars,21 wins & 33 nominations total,Francis Ford Coppola,"$92,158,064",R,1.3K,317,636K
The Hitchhiker's Guide to the Galaxy (2005),6.7,Awards,1 win & 10 nominations,Garth Jennings,2.39 : 1,PG,1.1K,287,193K
Fright Night (2011),6.4,Awards,2 wins & 8 nominations,Craig Gillespie,"$41,002,607",R,275,374,104K
Starman (1984),7.0,Nominated for 1 Oscar,1 win & 6 nominations total,John Carpenter,"$28,744,356",PG,177,108,46K
Godzilla (1998),5.4,Awards,10 wins & 13 nominations,Roland Emmerich,"$379,014,294",PG-13,910,124,189K
Escape from Alcatraz (1979),7.6,Awards,10 wins & 13 nominations,Roland Emmerich,"$43,005,351",PG-13,910,124,189K
Paul (2011),7.0,Awards,2 wins & 9 nominations,Greg Mottola,"$97,984,015",R,387,344,245K
Real Steel (2011),7.0,Nominated for 1 Oscar,2 wins & 6 nominations total,Shawn Levy,"$299,268,508",PG-13,525,344,313K
Fast & Furious Presents: Hobbs & Shaw (2019),6.5,Awards,1 win & 30 nominations,David Leitch,"$759,056,935",PG-13,1.3K,319,198K
Van Helsing (2004),6.1,Awards,3 wins & 21 nominations,Stephen Sommers,"$300,157,638",PG-13,1.4K,129,256K
The Nice Guys (2016),7.4,Awards,9 wins & 34 nominations,Shane Black,"$62,788,218",R,544,453,304K
No Way Out (1987),7.1,Awards,9 wins & 34 nominations,Shane Black,"$35,509,515",R,544,453,304K
Dolemite Is My Name (2019),7.3,Awards,29 wins & 67 nominations,Craig Brewer,Tên Tôi Là Dolemite,R,361,156,58K
Bringing Out the Dead (1999),6.8,Awards,2 wins & 5 nominations,Martin Scorsese,"$16,797,191",R,416,179,67K
"Il buono, il brutto, il cattivo (1966)",8.8,Awards,3 wins & 6 nominations,Sergio Leone,"$25,253,751",R,1.2K,147,724K
Die Hard 2 (1990),7.1,Awards,2 nominations,Renny Harlin,"$240,031,274",R,405,170,350K
Thor: The Dark World (2013),6.8,Awards,4 wins & 21 nominations,Alan Taylor,"$644,783,140",PG-13,769,533,636K
The Untouchables (1987),7.9,Won 1 Oscar,11 wins & 16 nominations total,Brian De Palma,"$76,270,454",R,570,145,297K
Harry Potter and the Half-Blood Prince (2009),7.6,Nominated for 1 Oscar,9 wins & 39 nominations total,David Yates,"$934,454,096",PG,1.1K,401,506K
Paddington 2 (2017),7.8,Awards,14 wins & 49 nominations total,Paul King,"$227,978,645",PG,276,431,69K
Peter Rabbit (2018),6.6,Awards,4 wins & 16 nominations,Will Gluck,"$351,496,066",PG,354,146,40K
Dr. No (1962),7.2,Awards,4 wins & 4 nominations,Terence Young,"$16,079,357",PG,519,156,160K
Murder on the Orient Express (2017),6.5,Awards,1 win & 24 nominations,Kenneth Branagh,"$352,794,081",PG-13,1K,424,227K
Clue (1985),7.3,Awards,1 win & 24 nominations,Kenneth Branagh,"$14,643,997",PG-13,1K,424,227K
Poseidon (2006),5.7,Nominated for 1 Oscar,7 nominations total,Wolfgang Petersen,2.35 : 1,PG-13,708,234,102K
Django (1966),7.2,Nominated for 1 Oscar,7 nominations total,Wolfgang Petersen,"$25,916",PG-13,708,234,102K
Men in Black II (2002),6.2,Awards,4 wins & 16 nominations,Barry Sonnenfeld,"Jul 7, 2002",PG-13,664,205,359K
Bill & Ted's Bogus Journey (1991),6.3,Awards,1 win & 1 nomination,Peter Hewitt,"$38,039,850",PG,172,83,74K
Addams Family Values (1993),6.8,Nominated for 1 Oscar,3 wins & 16 nominations total,Barry Sonnenfeld,"$48,919,043",PG-13,165,66,89K
Transporter 2 (2005),6.3,Nominated for 1 Oscar,3 wins & 16 nominations total,Barry Sonnenfeld,"$89,083,229",PG-13,165,66,89K
Transformers: Dark of the Moon (2011),6.2,Nominated for 3 Oscars,10 wins & 42 nominations total,Michael Bay,"$1,123,794,079",PG-13,971,440,396K
The Punisher (1989),5.7,Nominated for 3 Oscars,10 wins & 42 nominations total,Michael Bay,"$9,000,000 (estimated)",PG-13,971,440,396K
Rogue One (2016),7.8,Nominated for 2 Oscars,24 wins & 83 nominations total,Gareth Edwards,"$1,056,057,720",PG-13,1.9K,719,586K
10 Things I Hate About You (1999),7.3,Awards,2 wins & 13 nominations,Gil Junger,"$53,478,579",PG-13,669,119,318K
3:10 to Yuma (2007),7.7,Nominated for 2 Oscars,3 wins & 32 nominations total,James Mangold,"$70,016,220",R,671,305,300K
Frankenweenie (2012),6.9,Nominated for 1 Oscar,11 wins & 50 nominations total,Tim Burton,"$81,493,846",PG,221,393,104K
Hotel Transylvania (2012),7.1,Awards,2 wins & 15 nominations,Genndy Tartakovsky,"$358,375,603",PG,258,277,240K
The Lion King (2019),6.8,Nominated for 1 Oscar,19 wins & 45 nominations total,Jon Favreau,"$1,662,899,439",PG,3K,387,229K
Jumanji (1995),7.0,Awards,4 wins & 11 nominations,Joe Johnston,"$262,821,940",PG,299,80,327K
A Quiet Place (2018),7.5,Nominated for 1 Oscar,35 wins & 120 nominations total,John Krasinski,"$340,952,971",PG-13,3.2K,566,488K
Black Panther (2018),7.3,Won 3 Oscars,114 wins & 280 nominations total,Ryan Coogler,"$1,347,597,973",PG-13,3.4K,505,688K
BlacKkKlansman (2018),7.5,Won 1 Oscar,44 wins & 213 nominations total,Spike Lee,"$93,413,709",R,929,446,245K
Horrible Bosses 2 (2014),6.3,Awards,1 win & 6 nominations,Sean Anders,"$107,645,357",R,258,209,166K
Magic Mike XXL (2015),5.6,Awards,2 wins & 5 nominations,Gregory Jacobs,"$117,813,057",R,153,240,54K
The Godfather: Part III (1990),7.6,Nominated for 7 Oscars,6 wins & 23 nominations total,Francis Ford Coppola,"$136,861,392",R,760,134,378K
The Town (2010),7.5,Nominated for 1 Oscar,9 wins & 46 nominations total,Ben Affleck,"$154,026,136",R,544,402,371K
Green Book (2018),8.2,Won 3 Oscars,58 wins & 123 nominations total,Peter Farrelly,"$321,752,656",PG-13,1.6K,422,436K
Ocean's Eight (2018),6.3,Awards,3 wins & 16 nominations,Gary Ross,"$297,718,711",PG-13,1.1K,354,204K
Pawn Sacrifice (2014),7.0,Awards,1 win & 1 nomination,Edward Zwick,"$5,578,519",PG-13,138,157,43K
La La Land (2016),8.0,Won 6 Oscars,243 wins & 287 nominations total,Damien Chazelle,"$448,906,865",PG-13,2K,709,545K
Serpico (1973),7.7,Nominated for 2 Oscars,8 wins & 13 nominations total,Sidney Lumet,"$29,829,963",R,219,123,118K
The French Connection (1971),7.7,Won 5 Oscars,22 wins & 12 nominations total,William Friedkin,"$51,700,666",R,364,179,117K
Jarhead (2005),7.0,Awards,6 wins & 12 nominations,Sam Mendes,"$97,076,152",R,716,275,183K
Spider-Man: Homecoming (2017),7.4,Awards,7 wins & 10 nominations,Jon Watts,"$880,166,924",PG-13,1.4K,583,566K
Judge Dredd (1995),5.6,Awards,2 wins & 5 nominations,Danny Cannon,2.39 : 1,R,286,121,115K
The Bridge on the River Kwai (1957),8.1,Won 7 Oscars,30 wins & 8 nominations total,David Lean,"$27,200,000",PG,360,105,213K
On the Waterfront (1954),8.1,Won 8 Oscars,30 wins & 9 nominations total,Elia Kazan,1.66 : 1,Approved,369,173,150K
The Color of Money (1986),7.0,Won 1 Oscar,3 wins & 10 nominations total,Martin Scorsese,"$52,293,982",R,159,72,80K
The Chronicles of Riddick (2004),6.7,Awards,5 nominations,David Twohy,"$115,900,534",R,714,101,222K
The General's Daughter (1999),6.4,Awards,3 wins & 5 nominations,Simon West,"$149,705,852",R,300,100,57K
Prince of Persia: The Sands of Time (2010),6.6,Awards,1 win & 11 nominations,Mike Newell,"$336,365,676",PG-13,495,316,281K
Gattaca (1997),7.8,Nominated for 1 Oscar,6 wins & 16 nominations total,Andrew Niccol,"$12,532,777",PG-13,798,181,292K
Ransom (1996),6.7,Awards,3 wins & 5 nominations,Ron Howard,"$309,492,681",R,197,77,124K
In the Line of Fire (1993),7.2,Nominated for 3 Oscars,2 wins & 17 nominations total,Wolfgang Petersen,"$176,997,168",R,179,75,99K
Edge of Tomorrow (2014),7.9,Awards,11 wins & 38 nominations,Doug Liman,2.35 : 1,PG-13,1.1K,633,638K
Schindler's List (1993),8.9,Won 7 Oscars,91 wins & 49 nominations total,Steven Spielberg,"Dec 19, 1993",R,2K,170,1.3M
"O Brother, Where Art Thou? (2000)",7.7,Nominated for 2 Oscars,7 wins & 39 nominations total,Joel Coen,"$71,870,729",PG-13,948,108,300K
Sicario (2015),7.6,Nominated for 3 Oscars,15 wins & 158 nominations total,Denis Villeneuve,"$85,057,064",R,826,553,402K
Rampage (2018),6.1,Awards,7 nominations,Brad Peyton,"$428,028,233",PG-13,736,331,157K
Die Hard: With a Vengeance (1995),7.6,Awards,2 wins & 3 nominations,John McTiernan,"$366,101,666",R,426,180,376K
Jurassic Park III (2001),5.9,Awards,5 wins & 16 nominations,Joe Johnston,"Jul 22, 2001",PG-13,1.3K,234,307K
Barton Fink (1991),7.7,Nominated for 3 Oscars,19 wins & 30 nominations total,Joel Coen,"$6,153,939",R,275,155,118K
The Hateful Eight (2015),7.8,Won 1 Oscar,43 wins & 116 nominations total,Quentin Tarantino,"$156,480,177",R,1.5K,570,558K
Liar Liar (1997),6.9,Awards,4 wins & 6 nominations,Tom Shadyac,"$302,710,615",PG-13,327,73,295K
How the Grinch Stole Christmas (2000),6.2,Won 1 Oscar,18 wins & 37 nominations total,Ron Howard,"$345,573,032",PG,647,127,225K
Beverly Hills Cop II (1987),6.5,Nominated for 1 Oscar,6 wins & 4 nominations total,Tony Scott,"$299,965,036",R,136,64,115K
Lust for Life (1956),7.4,Won 1 Oscar,4 wins & 6 nominations total,Vincente Minnelli,"$3,227,000 (estimated)",Approved,88,65,11K
Lonely Are the Brave (1962),7.6,Awards,1 win & 2 nominations total,David Miller,"$2,000,000 (estimated)",Approved,117,46,8.8K
Fantastic Beasts: The Crimes of Grindelwald (2018),6.5,Awards,3 wins & 23 nominations total,David Yates,"$654,855,901",PG-13,1.5K,350,242K
The Man from U.N.C.L.E. (2015),7.3,Awards,7 wins & 5 nominations,Guy Ritchie,"$107,045,109",PG-13,565,387,293K
Chappie (2015),6.8,Awards,3 nominations,Neill Blomkamp,"$102,811,889",R,822,395,242K
Spectre (2015),6.8,Won 1 Oscar,8 wins & 37 nominations total,Sam Mendes,"$880,681,519",PG-13,1.2K,463,419K
Tigerland (2000),7.0,Awards,2 wins & 5 nominations,Joel Schumacher,"$148,701",R,163,76,41K
Seven Psychopaths (2012),7.2,Awards,3 wins & 21 nominations total,Martin McDonagh,"$32,226,382",R,382,414,250K
8MM (1999),6.5,Awards,2 wins & 2 nominations,Joel Schumacher,"$96,618,699",R,639,122,129K
Phone Booth (2002),7.0,Awards,1 win & 8 nominations,Joel Schumacher,"$97,837,138",R,684,195,260K
Un conte de Noël (2008),7.0,Awards,5 wins & 35 nominations,Arnaud Desplechin,"$7,356,393",Not Rated,32,141,6.9K
The Artist (2011),7.9,Won 5 Oscars,162 wins & 204 nominations total,Michel Hazanavicius,"$133,432,856",PG-13,709,598,237K
Unforgiven (1992),8.2,Won 4 Oscars,50 wins & 47 nominations total,Clint Eastwood,"$159,157,447",R,656,137,395K
Winchester '73 (1950),7.6,Awards,1 win & 1 nomination,Anthony Mann,Montana Winchester,Passed,106,57,19K
Great Expectations (1946),7.8,Won 2 Oscars,4 wins & 4 nominations total,David Lean,"$19,329",Approved,126,70,23K
Mystic River (2003),7.9,Won 2 Oscars,56 wins & 144 nominations total,Clint Eastwood,"$156,595,191",R,1.1K,225,440K
Milk (2008),7.5,Won 2 Oscars,66 wins & 145 nominations total,Gus Van Sant,"$54,589,558",R,322,255,170K
Rebel Without a Cause (1955),7.7,Nominated for 3 Oscars,3 wins & 7 nominations total,Nicholas Ray,"$199,963",PG-13,357,175,88K
Rocky III (1982),6.8,Nominated for 1 Oscar,3 wins & 8 nominations total,Sylvester Stallone,"May 30, 1982",PG,264,87,183K
Psycho (1960),8.5,Nominated for 4 Oscars,7 wins & 14 nominations total,Alfred Hitchcock,"$32,041,845",R,1.4K,250,637K
Sleepers (1996),7.6,Nominated for 1 Oscar,1 win & 5 nominations total,Barry Levinson,"$165,615,285",R,344,72,210K
Hot Shots! (1991),6.8,Awards,1 win,Jim Abrahams,"$181,096,164",PG-13,118,53,104K
Jurassic World (2015),7.0,Awards,15 wins & 58 nominations,Colin Trevorrow,"$1,670,516,444",PG-13,1.5K,698,606K
Footloose (1984),6.6,Nominated for 2 Oscars,1 win & 6 nominations total,Herbert Ross,"$80,039,064",PG,154,65,76K
Unstoppable (2010),6.8,Nominated for 1 Oscar,1 win & 14 nominations total,Tony Scott,"$167,805,466",PG-13,413,328,192K
Halloween (1978),7.7,Awards,7 wins & 3 nominations,John Carpenter,"$47,160,000",R,1.6K,457,260K
Harry Potter and the Deathly Hallows: Part 1 (2010),7.7,Nominated for 2 Oscars,15 wins & 55 nominations total,David Yates,"$977,043,483",PG-13,740,449,509K
Mahha GoGoGo (TV Series 1967–1968),7.2,Awards,1 nomination,Tatsuo Yoshida,Speed Racer,TV-Y7,23,13,2.8K
The Equalizer (2014),7.2,Awards,1 win & 9 nominations,Antoine Fuqua,"$192,330,738",R,690,328,354K
Wayne's World (1992),7.0,Awards,4 wins & 5 nominations,Penelope Spheeris,"$183,097,323",PG-13,207,76,151K
Batman Returns (1992),7.0,Nominated for 2 Oscars,2 wins & 29 nominations total,Tim Burton,"$266,892,996",PG-13,733,196,288K
Ted 2 (2015),6.3,Awards,3 wins & 4 nominations,Seth MacFarlane,"$215,863,606",R,273,304,197K
Johnny English (2003),6.2,Awards,6 nominations,Peter Howitt,"$160,466,000",PG,335,128,155K
Catch-22 (1970),7.1,Awards,5 nominations total,Mike Nichols,"$18,000,000 (estimated)",R,158,60,25K
Creed (2015),7.6,Nominated for 1 Oscar,44 wins & 65 nominations total,Ryan Coogler,"$173,567,581",PG-13,565,506,261K
First Blood (1982),7.7,Awards,1 win & 2 nominations,Ted Kotcheff,"$125,212,904",R,527,208,240K
Vanishing Point (1971),7.2,Awards,1 win & 2 nominations,Ted Kotcheff,"$12,442,673",R,527,208,240K
Ulzana's Raid (1972),7.1,Awards,1 win & 2 nominations,Ted Kotcheff,"$1,200,000 (estimated)",R,527,208,240K
The Driver (1978),7.2,Awards,1 win & 2 nominations,Ted Kotcheff,"$4,000,000 (estimated)",R,527,208,240K
The Man in the Iron Mask (1998),6.5,Awards,3 wins & 4 nominations,Randall Wallace,"$182,968,902",PG-13,280,91,162K
Robin Hood: Prince of Thieves (1991),6.9,Nominated for 1 Oscar,16 wins & 24 nominations total,Kevin Reynolds,"$390,493,908",PG-13,387,87,187K
Harry Potter and the Deathly Hallows: Part 2 (2011),8.1,Nominated for 3 Oscars,46 wins & 94 nominations total,David Yates,"$1,342,321,665",PG-13,1K,491,812K
Ben-Hur (1959),8.1,Won 11 Oscars,29 wins & 16 nominations total,William Wyler,"Apr 14, 2019",G,476,136,230K
The Message (1976),8.2,Nominated for 1 Oscar,1 nomination total,Moustapha Akkad,"$10,000,000 (estimated)",PG,169,24,46K
Casanova (2005),6.5,Awards,5 wins & 3 nominations,Lasse Hallström,"$37,691,644",R,159,120,53K
Close Encounters of the Third Kind (1977),7.6,Won 2 Oscars,15 wins & 39 nominations total,Steven Spielberg,"$306,889,114",PG,483,243,194K
E.T. the Extra-Terrestrial (1982),7.8,Won 4 Oscars,52 wins & 36 nominations total,Steven Spielberg,"$792,910,554",PG,663,265,390K
Beauty and the Beast (2017),7.1,Nominated for 2 Oscars,15 wins & 75 nominations total,Bill Condon,"$1,273,576,220",PG,1.2K,524,291K
The Greatest Showman (2017),7.6,Nominated for 1 Oscar,17 wins & 32 nominations total,Michael Gracey,"$436,949,634",PG,1.9K,341,260K
Dark Phoenix (2019),5.7,Awards,13 nominations,Simon Kinberg,"$252,442,974",PG-13,2.2K,356,173K
Sleepy Hollow (1999),7.3,Won 1 Oscar,28 wins & 44 nominations total,Tim Burton,"$206,071,502",R,1K,247,347K
Hollow Man (2000),5.8,Nominated for 1 Oscar,7 wins & 14 nominations total,Paul Verhoeven,"$190,213,455",R,676,190,128K
Snowden (2016),7.3,Awards,4 wins & 7 nominations,Oliver Stone,"$37,357,216",R,279,332,147K
We Were Soldiers (2002),7.2,Awards,3 wins & 5 nominations,Randall Wallace,"$115,374,915",R,797,152,136K
The Runaways (2010),6.5,Awards,6 nominations,Floria Sigismondi,"$4,681,651",R,144,259,48K
The Salvation (2014),6.7,Awards,1 win & 8 nominations,Kristian Levring,"$1,363,964",R,138,193,38K
Harold & Kumar Go to White Castle (2004),7.0,Awards,3 nominations,Danny Leiner,"$23,936,908",R,349,137,190K
The Four Feathers (1939),7.5,Awards,2 nominations,Zoltan Korda,Vier Federn,Passed,87,48,5.9K
Highlander (1986),7.1,Awards,2 nominations,Zoltan Korda,"$5,900,712",Passed,87,48,5.9K
WarGames (1983),7.1,Nominated for 3 Oscars,4 wins & 14 nominations total,John Badham,"$79,567,667",PG,212,92,96K
The Mummy Returns (2001),6.4,Awards,6 wins & 19 nominations,Stephen Sommers,"$443,280,904",PG-13,948,178,313K
The Pink Panther (1963),7.1,Nominated for 1 Oscar,2 wins & 8 nominations total,Blake Edwards,"$10,878,107",Approved,197,89,51K
A Nightmare on Elm Street (1984),7.5,Awards,4 wins & 6 nominations,Wes Craven,"$25,565,347",R,882,241,224K
Pirates of the Caribbean: Dead Men Tell No Tales (2017),6.5,Awards,1 win & 13 nominations,Joachim Rønning,"$794,881,442",PG-13,705,418,284K
Dracula (1931),7.5,Awards,5 wins & 3 nominations,Tod Browning,"$85,204",Passed,600,178,50K
Ice Age (2002),7.5,Nominated for 1 Oscar,5 wins & 30 nominations total,Chris Wedge,"$383,257,136",PG,518,175,461K
Knight and Day (2010),6.3,Awards,3 nominations,James Mangold,"$261,989,769",PG-13,439,304,188K
Walking Tall (1973),6.9,Awards,3 nominations,James Mangold,"$500,000 (estimated)",PG-13,439,304,188K
Starship Troopers (1997),7.2,Nominated for 1 Oscar,3 wins & 16 nominations total,Paul Verhoeven,"$121,214,377",R,1.1K,216,282K
8 Mile (2002),7.1,Won 1 Oscar,15 wins & 21 nominations total,Curtis Hanson,"$242,875,078",R,648,114,269K
Sully (2016),7.4,Nominated for 1 Oscar,14 wins & 36 nominations total,Clint Eastwood,"$240,797,623",PG-13,526,419,257K
The Giver (2014),6.5,Awards,3 wins & 6 nominations,Phillip Noyce,"$66,980,456",PG-13,367,210,116K
What Happened to Monday (2017),6.9,Awards,1 nomination,Tommy Wirkola,"$27,975,429",TV-MA,572,137,116K
Maze Runner: The Scorch Trials (2015),6.3,Awards,2 wins & 5 nominations,Wes Ball,"$312,296,056",PG-13,478,279,237K
The Matrix Reloaded (2003),7.2,Awards,8 wins & 34 nominations,Lana Wachowski,"$741,847,937",R,2.8K,167,549K
The Tourist (2010),6.0,Awards,4 wins & 4 nominations,Florian Henckel von Donnersmarck,"$278,780,441",PG-13,495,336,234K
Underworld (2003),7.0,Awards,1 win & 10 nominations,Len Wiseman,"$95,708,457",R,867,230,262K
M*A*S*H (1970),7.4,Won 1 Oscar,14 wins & 24 nominations total,Robert Altman,"$81,600,000",R,270,138,71K
Dial M for Murder (1954),8.2,Awards,5 wins & 3 nominations total,Alfred Hitchcock,"$18,924",PG,394,113,168K
M - Eine Stadt sucht einen Mörder (1931),8.3,Awards,2 wins,Fritz Lang,"$35,566",Passed,394,176,152K
Fright Night (1985),7.1,Awards,5 wins & 5 nominations,Tom Holland,"$24,922,237",R,350,174,67K
Crank (2006),6.9,Awards,2 wins & 2 nominations,Mark Neveldine,"Sep 3, 2006",R,494,180,243K
The BFG (2016),6.4,Awards,4 wins & 26 nominations total,Steven Spielberg,"$195,243,411",PG,269,376,82K
The Boxtrolls (2014),6.8,Nominated for 1 Oscar,8 wins & 61 nominations total,Graham Annable,"Sep 28, 2014",PG,153,243,56K
Jurassic World: Fallen Kingdom (2018),6.2,Awards,4 wins & 26 nominations,J.A. Bayona,"$1,310,466,296",PG-13,1.9K,460,287K
Guardians of the Galaxy Vol. 2 (2017),7.6,Nominated for 1 Oscar,15 wins & 58 nominations total,James Gunn,"$863,756,051",PG-13,1.1K,595,621K
The Score (2001),6.8,Awards,1 win & 1 nomination,Frank Oz,"$114,252,154",R,481,120,126K
Oblivion (2013),7.0,Awards,1 win & 17 nominations,Joseph Kosinski,"$286,168,572",PG-13,1K,567,505K
The Guns of Navarone (1961),7.5,Won 1 Oscar,4 wins & 12 nominations total,J. Lee Thompson,"$6,000,000 (estimated)",TV-PG,178,46,49K
Cape Fear (1962),7.7,Won 1 Oscar,4 wins & 12 nominations total,J. Lee Thompson,"$3,000,000 (estimated)",TV-PG,178,46,49K
Where Eagles Dare (1968),7.6,Awards,1 win & 3 nominations,Brian G. Hutton,"$7,100,435",M,293,48,56K
Analyze This (1999),6.7,Awards,4 wins & 7 nominations,Harold Ramis,"$176,885,658",R,359,123,150K
The Whole Nine Yards (2000),6.7,Awards,6 nominations,Jonathan Lynn,"$106,371,651",R,334,56,117K
Out of the Furnace (2013),6.8,Awards,1 win & 10 nominations,Scott Cooper,"$15,661,554",R,311,309,112K
I Am Legend (2007),7.2,Awards,9 wins & 23 nominations,Francis Lawrence,"$585,410,052",PG-13,1.6K,338,720K
Ghost in the Shell (2017),6.3,Awards,3 wins & 6 nominations,Rupert Sanders,"$169,846,945",PG-13,1.1K,455,207K
Seven Pounds (2008),7.6,Awards,4 wins & 7 nominations,Gabriele Muccino,2.35 : 1,PG-13,736,212,295K
Defiance (2008),7.2,Nominated for 1 Oscar,2 wins & 5 nominations total,Edward Zwick,"$51,262,751",R,276,129,144K
The Fast and the Furious (2001),6.8,Awards,11 wins & 18 nominations,Rob Cohen,"$207,305,509",PG-13,1.1K,131,370K
Kickboxer (1989),6.5,Awards,11 wins & 18 nominations,Rob Cohen,"$14,697,005",PG-13,1.1K,131,370K
Bloodsport (1988),6.8,Awards,1 nomination,Newt Arnold,"$11,806,119",R,284,92,82K
Cry-Baby (1990),6.5,Awards,1 nomination,Newt Arnold,"$8,266,343",R,284,92,82K
Red River (1948),7.8,Nominated for 2 Oscars,4 wins & 5 nominations total,Howard Hawks,"$3,000,000 (estimated)",Passed,211,87,30K
McLintock! (1963),7.2,Awards,2 wins,Andrew V. McLaglen,"$2,000,000 (estimated)",Passed,107,54,14K
Star Trek: The Motion Picture (1979),6.4,Nominated for 3 Oscars,4 wins & 20 nominations total,Robert Wise,"$82,604,699",G,506,114,87K
The Pit and the Pendulum (1961),7.1,Nominated for 3 Oscars,4 wins & 20 nominations total,Robert Wise,"$200,000 (estimated)",G,506,114,87K
The Rocketeer (1991),6.5,Awards,1 win & 6 nominations,Joe Johnston,"$46,704,056",PG,176,109,56K
Superman II (1980),6.8,Awards,3 wins & 7 nominations,Richard Lester,"$108,185,706",PG,316,147,104K
Body of Lies (2008),7.1,Awards,2 nominations,Ridley Scott,"$115,900,897",R,315,237,222K
Primal Fear (1996),7.7,Nominated for 1 Oscar,10 wins & 12 nominations total,Gregory Hoblit,"$102,616,183",R,361,83,203K
Fear and Loathing in Las Vegas (1998),7.6,Awards,1 win & 3 nominations,Terry Gilliam,"$10,680,275",R,746,159,271K
The Usual Suspects (1995),8.5,Won 2 Oscars,37 wins & 17 nominations total,Bryan Singer,"$23,341,568",R,1.4K,153,1M
Oldeuboi (2003),8.4,Awards,40 wins & 20 nominations,Park Chan-Wook,"$15,189,934",R,1.1K,347,547K
Raging Bull (1980),8.2,Won 2 Oscars,24 wins & 28 nominations total,Martin Scorsese,"$23,402,427",R,643,154,338K
Casino (1995),8.2,Nominated for 1 Oscar,4 wins & 11 nominations total,Martin Scorsese,"$116,112,375",R,705,123,493K
The Last of the Mohicans (1992),7.7,Won 1 Oscar,7 wins & 17 nominations total,Michael Mann,"$75,505,856",R,493,91,161K
Watchmen (2009),7.6,Awards,11 wins & 24 nominations,Zack Snyder,"$185,382,813",R,1.5K,490,530K
In the Name of the Father (1993),8.1,Nominated for 7 Oscars,7 wins & 41 nominations total,Jim Sheridan,"$65,796,862",R,206,64,167K
Ying xiong (2002),7.9,Nominated for 1 Oscar,46 wins & 48 nominations total,Yimou Zhang,"$177,395,557",PG-13,888,158,178K
Patton (1970),7.9,Won 7 Oscars,24 wins & 8 nominations total,Franklin J. Schaffner,"$61,749,765",PG,314,130,99K
The Young Lions (1958),7.2,Nominated for 3 Oscars,1 win & 7 nominations total,Edward Dmytryk,"$3,550,000 (estimated)",Approved,77,26,7.9K
Yôjinbô (1961),8.2,Nominated for 1 Oscar,4 wins & 2 nominations total,Akira Kurosawa,"$46,808",Not Rated,221,136,118K
